test_id,category,requirement,command_or_method,threshold,blocking,expected_evidence,status,actual_value
SA1-ENV-001,环境,MATLAB R2024a与稀疏LDL可用且未启动并行池,deterministic probe,PASS,true,environment.csv,NOT_RUN,
SA1-DATA-001,数据,受控输入SHA256匹配且读取第1日第8至10小时真实数据,SHA256 and slice audit,PASS,true,input_hashes.csv,NOT_RUN,
SA1-MAT-001,矩阵,完整KKT维度,assert,471,true,matrix_manifest.csv,NOT_RUN,
SA1-MAT-002,矩阵,全局核心维度,assert,16,true,matrix_manifest.csv,NOT_RUN,
SA1-BLK-001,矩阵,第8至10小时块维度,assert,"[27 27 29]",true,block_dimensions.csv,NOT_RUN,
SA1-LIN-001,线性化,完整与递推路线消费唯一共享linearization对象,identity hash,PASS,true,linearization_identity.json,NOT_RUN,
SA1-BND-001,边界,测试窗不连接第7小时且含两条第10小时末端SOC等式,structural audit,PASS,true,soc_boundary_audit.csv,NOT_RUN,
SA1-EQ-001,等价,总体方向相对误差,2-norm,<=1e-10,true,acceptance_results.csv,NOT_RUN,
SA1-EQ-002,等价,递推方向代回完整KKT相对残差,2-norm,<=1e-10,true,acceptance_results.csv,NOT_RUN,
SA1-EQ-003,等价,完整KKT直接求解相对残差,2-norm,"preferred<=1e-12; maximum<=1e-10",true,acceptance_results.csv,NOT_RUN,
SA1-IDX-001,索引,规范方向可逆恢复,unit/integration,PASS,true,indices,NOT_RUN,
SA1-IDX-002,索引,固定零变量的值和方向精确为零,exact equality,PASS,true,fixed_zero_audit.csv,NOT_RUN,
SA1-NUM-001,数值,无inv或pinv或lsqminnorm或自动正则化或自动对称化或完整KKT回退,code scan,PASS,true,code_scan.csv,NOT_RUN,
SA1-ART-001,工件,矩阵索引误差残差测试与中文报告完整持久化,artifact validation,PASS,true,artifact_hashes.csv,NOT_RUN,
SA1-SCOPE-001,范围,只执行一次Newton方向且不运行完整IPM并行或经济结论,manifest audit,PASS,true,run_manifest.json,NOT_RUN,
