module_id,中文模块,包内生产实现,公共接口,人工验证入口,固定上一级输入,实现文件,implementation_status,caller_status,compatibility_retention
DATA,数据导入,rkkt.data.load_project_data,rkkt.data.load,rkkt.data.validation.run,两份受控Excel,src/+rkkt/+data/load_project_data.m,MIGRATED,DIRECT_PACKAGE_CALL,NONE
INDEX,规范索引,rkkt.indexing.build_stage_a4_index,rkkt.indexing.build,rkkt.indexing.validation.run,data与显式config,src/+rkkt/+indexing/build_stage_a4_index.m,MIGRATED,DIRECT_PACKAGE_CALL,NONE
STATE,原始对偶状态,rkkt.model.initialize_stage_a4_state,rkkt.model.initialize,rkkt.model.validation.runState,data与index与config,src/+rkkt/+model/initialize_stage_a4_state.m,MIGRATED,DIRECT_PACKAGE_CALL,NONE
LINEARIZATION,统一线性化,rkkt.model.build_stage_a4_linearization,rkkt.model.linearize,rkkt.model.validation.runLinearization,显式state与data与index与config,src/+rkkt/+model/build_stage_a4_linearization.m,MIGRATED,DIRECT_PACKAGE_CALL,NONE
RESIDUAL_VIEW,残差观察,rkkt.model.residualView,rkkt.model.residualView,rkkt.model.validation.runResidual,唯一linearization,src/+rkkt/+model/residualView.m,DIRECT_IMPLEMENTATION,DIRECT_PACKAGE_CALL,NONE
JACOBIAN_VIEW,Jacobian观察,rkkt.model.jacobianView,rkkt.model.jacobianView,rkkt.model.validation.runJacobian,唯一linearization,src/+rkkt/+model/jacobianView.m,DIRECT_IMPLEMENTATION,DIRECT_PACKAGE_CALL,NONE
HESSIAN_VIEW,Hessian观察,rkkt.model.hessianView,rkkt.model.hessianView,rkkt.model.validation.runHessian,唯一linearization,src/+rkkt/+model/hessianView.m,DIRECT_IMPLEMENTATION,DIRECT_PACKAGE_CALL,NONE
FULL_KKT_ASSEMBLY,完整KKT装配,rkkt.solver.assemble_stage_a_multiday_full_kkt,rkkt.solver.assembleFullKKT,rkkt.solver.validation.runFullKKT,唯一linearization,src/+rkkt/+solver/assemble_stage_a_multiday_full_kkt.m,MIGRATED,DIRECT_PACKAGE_CALL,NONE
FULL_KKT_SOLVE,完整KKT审计方向,rkkt.solver.solve_stage_a_multiday_full_kkt_direction,rkkt.solver.solveFullKKT,rkkt.solver.validation.runFullKKT,唯一linearization,src/+rkkt/+solver/solve_stage_a_multiday_full_kkt_direction.m,MIGRATED,DIRECT_PACKAGE_CALL,NONE
REDUCTION,不等式消元与既约KKT,rkkt.solver.eliminate_stage_a_multiday_inequality_directions,rkkt.solver.eliminateInequalities,rkkt.solver.validation.runReducedKKT,唯一linearization,src/+rkkt/+solver/eliminate_stage_a_multiday_inequality_directions.m,MIGRATED,DIRECT_PACKAGE_CALL,NONE
PARTITION,小时链与递推分区,rkkt.solver.partition_stage_a_multiday_recursive_system,rkkt.solver.partitionRecursiveSystem,rkkt.solver.validation.runPartition,既约KKT对象,src/+rkkt/+solver/partition_stage_a_multiday_recursive_system.m,MIGRATED,DIRECT_PACKAGE_CALL,NONE
DAY_CHAIN,每日24小时块Thomas与LDL多右端求解,rkkt.solver.solve_block_thomas_ldl,rkkt.solver.solveDayChain,rkkt.solver.validation.runDayChain,递推分区对象,src/+rkkt/+solver/solve_block_thomas_ldl.m,MIGRATED,DIRECT_PACKAGE_CALL,NONE
DAY_RESPONSE,单日响应,rkkt.solver.form_stage_a_multiday_day_response,rkkt.solver.buildDayResponse,rkkt.solver.validation.runDayResponse,小时链求解对象,src/+rkkt/+solver/form_stage_a_multiday_day_response.m,MIGRATED,DIRECT_PACKAGE_CALL,NONE
DAY_AGGREGATION,七日响应汇总,rkkt.solver.aggregate_stage_a_multiday_day_responses,rkkt.solver.aggregateDayResponses,rkkt.solver.validation.runDayAggregation,单日响应对象,src/+rkkt/+solver/aggregate_stage_a_multiday_day_responses.m,MIGRATED,DIRECT_PACKAGE_CALL,NONE
GLOBAL_CORE,16维全局核心,rkkt.solver.solve_stage_a_multiday_core16_ldl,rkkt.solver.solveGlobalCore,rkkt.solver.validation.runGlobalCore,七日响应汇总对象,src/+rkkt/+solver/solve_stage_a_multiday_core16_ldl.m,MIGRATED,DIRECT_PACKAGE_CALL,NONE
RECOVERY,局部回代,rkkt.solver.recover_stage_a_multiday_recursive_direction,rkkt.solver.recoverDirection,rkkt.solver.validation.runRecovery,全局核心对象,src/+rkkt/+solver/recover_stage_a_multiday_recursive_direction.m,MIGRATED,DIRECT_PACKAGE_CALL,NONE
EQUIVALENCE,方向等价性审计,rkkt.solver.verify_stage_a_multiday_direction_equivalence,rkkt.solver.verifyEquivalence,rkkt.solver.validation.runEquivalence,递推与完整审计方向,src/+rkkt/+solver/verify_stage_a_multiday_direction_equivalence.m,MIGRATED,DIRECT_PACKAGE_CALL,NONE
IPM_STEP,原始对偶单步,rkkt.ipm.execute_stage_a4_iteration,rkkt.ipm.step,rkkt.ipm.validation.runStep,显式state与data与index与config,src/+rkkt/+ipm/execute_stage_a4_iteration.m,MIGRATED,DIRECT_PACKAGE_CALL,NONE
IPM_SOLVE,完整内点迭代,rkkt.ipm.solve,rkkt.ipm.solve,rkkt.ipm.validation.runSolve,显式初始state与data与index与config,src/+rkkt/+ipm/solve.m,DIRECT_IMPLEMENTATION,DIRECT_PACKAGE_CALL,NONE
RUN_CONTEXT,正式运行上下文,rkkt.artifacts.create_run_context,无独立公共接口,无独立人工数值入口,正式工作流,src/+rkkt/+artifacts/create_run_context.m,MIGRATED,DIRECT_PACKAGE_CALL,NONE
ARTIFACTS,运行工件,rkkt.artifacts.export_stage_a4_result_artifacts,rkkt.artifacts.export,无独立人工数值入口,求解结果,src/+rkkt/+artifacts/export_stage_a4_result_artifacts.m,MIGRATED,DIRECT_PACKAGE_CALL,NONE
