legacy_function,package_interface,caller_path,caller_category,migration_status,retention_reason,package_backend_dependency,deletion_eligible,unexpected_caller
aggregate_stage_a_multiday_day_responses,rkkt.solver.aggregateDayResponses,src/+rkkt/+solver/aggregateDayResponses.m,package_compatibility_backend,package_facade_backend_retained,冻结rkkt.*薄门面按合同直接委托旧正式函数,true,false,false
aggregate_stage_a_multiday_day_responses,rkkt.solver.aggregateDayResponses,src/solver/aggregate_stage_a3_day_responses.m,deletion_candidate,future_deletion_candidate_not_authorized,历史阶段兼容包装；仅在五项删除门槛满足且用户另行批准后可评估,false,false,false
aggregate_stage_a_multiday_day_responses,rkkt.solver.aggregateDayResponses,src/solver/solve_stage_a_multiday_recursive_direction.m,package_compatibility_backend,package_facade_backend_retained,冻结rkkt.*薄门面保留的现有正式生产后端链,true,false,false
assemble_stage_a_multiday_full_kkt,rkkt.solver.assembleFullKKT,src/+rkkt/+solver/+validation/runFullKKT.m,historical_stage_or_diagnostic,retained_for_historical_or_diagnostic_compatibility,模块人工验证保留新旧严格一致性对照,false,false,false
assemble_stage_a_multiday_full_kkt,rkkt.solver.assembleFullKKT,src/+rkkt/+solver/assembleFullKKT.m,package_compatibility_backend,package_facade_backend_retained,冻结rkkt.*薄门面按合同直接委托旧正式函数,true,false,false
assemble_stage_a_multiday_full_kkt,rkkt.solver.assembleFullKKT,src/artifacts/export_stage_a4_3_structural_artifacts.m,active_formal_orchestration,retained_as_active_internal_backend,当前正式A4-3内部结构工件链仍使用该后端；不属于四个顶层迁移调用,false,false,false
assemble_stage_a_multiday_full_kkt,rkkt.solver.assembleFullKKT,src/solver/assemble_stage_a3_full_kkt.m,deletion_candidate,future_deletion_candidate_not_authorized,历史阶段兼容包装；仅在五项删除门槛满足且用户另行批准后可评估,false,false,false
assemble_stage_a_multiday_full_kkt,rkkt.solver.assembleFullKKT,src/solver/solve_stage_a_multiday_diagnostic_rhs_responses.m,historical_stage_or_diagnostic,retained_for_historical_or_diagnostic_compatibility,历史阶段或诊断入口保留；用于既有证据和定向诊断兼容,false,false,false
assemble_stage_a_multiday_full_kkt,rkkt.solver.assembleFullKKT,src/solver/solve_stage_a_multiday_full_kkt_direction.m,package_compatibility_backend,package_facade_backend_retained,冻结rkkt.*薄门面保留的现有正式生产后端链,true,false,false
assemble_stage_a_multiday_full_kkt,rkkt.solver.assembleFullKKT,src/solver/solve_stage_a_multiday_recursive_direction.m,package_compatibility_backend,package_facade_backend_retained,冻结rkkt.*薄门面保留的现有正式生产后端链,true,false,false
