checkId,item,sourceFile,sheet,sectionLabel,locator,expectedShape,actualShape,headerRow,dataStartRow,dataEndRow,minValue,maxValue,status,details,unit
S0-DATA-001,input hash,基础参数.xlsx,manifest,基础参数.xlsx,manifest file name+byte count+SHA256,1x1,1x1,NaN,NaN,NaN,NaN,NaN,PASS,expectedBytes=14585; actualBytes=14585; expectedSHA256=aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277; actualSHA256=aebb35fa80e6ba2fb8d4534b09a141feaedcb2b9d027e9924e7a0091943c4277,
S0-DATA-001,input hash,输入数据.xlsx,manifest,输入数据.xlsx,manifest file name+byte count+SHA256,1x1,1x1,NaN,NaN,NaN,NaN,NaN,PASS,expectedBytes=821811; actualBytes=821811; expectedSHA256=10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186; actualSHA256=10baac1dc5d0b07dbbb9d2fe8f9aac82f071e43d4fb9901ff7ba0b467d05c186,
S0-DATA-002,base effective range,基础参数.xlsx,基础参数,used range,sheet+effective nonempty range,45x16,45x16,NaN,1,45,NaN,NaN,PASS,A1:P45,
S0-DATA-002,time-series effective range,输入数据.xlsx,Sheet1,used range,sheet+effective nonempty range,5492x27,5492x27,NaN,1,5492,NaN,NaN,PASS,A1:AA5492,
S0-DATA-002,basic parameters,基础参数.xlsx,基础参数,基本参数,sheet+unique section label+complete contiguous header,1x4,1x4,1,2,2,0.050000000000000003,30,PASS,Legacy days are retained but do not set annual length.,
S0-DATA-003,device counts,基础参数.xlsx,基础参数,基本参数,sheet+unique section label+complete contiguous header,1x5,1x5,3,4,4,2,5,PASS,Expected 4/4/5/5/2.,
S0-DATA-002,objective weights,基础参数.xlsx,基础参数,基本参数,sheet+unique section label+complete contiguous header,1x8,1x8,5,6,6,0.023,0.249,PASS,Unnormalized sum=0.99699999999999989.,
S0-DATA-002,thermal cost table,基础参数.xlsx,基础参数,投资及度电成本参数,sheet+unique section label+complete contiguous header,4x3,4x3,7,8,11,1,407659.54999999999,PASS,,
S0-DATA-002,hydro cost table,基础参数.xlsx,基础参数,投资及度电成本参数,sheet+unique section label+complete contiguous header,4x2,4x2,12,13,16,1,199.46000000000001,PASS,,
S0-DATA-002,wind planning table,基础参数.xlsx,基础参数,投资及度电成本参数,sheet+unique section label+complete contiguous header,5x7,5x7,17,18,22,0,4920145.04,PASS,,
S0-DATA-002,solar planning table,基础参数.xlsx,基础参数,投资及度电成本参数,sheet+unique section label+complete contiguous header,5x7,5x7,23,24,28,0,3543945.8700000001,PASS,,
S0-DATA-002,storage planning table,基础参数.xlsx,基础参数,投资及度电成本参数,sheet+unique section label+complete contiguous header,2x14,2x14,29,30,31,0.10000000000000001,1717844.6200000001,PASS,,
S0-DATA-002,energy-base price,基础参数.xlsx,基础参数,投资及度电成本参数,sheet+unique section label+complete contiguous header,1x2,1x2,32,33,33,1,468.63,PASS,,
S0-DATA-002,thermal generator table,基础参数.xlsx,基础参数,已知机组参数,sheet+unique section label+complete contiguous header,4x12,4x12,34,35,38,0.00027999999999999998,727.15999999999997,PASS,FUTURE-UC columns are retained but not enabled.,
